stop_id,stop_name,stop_lat,stop_lon,location_type
740000132,Partille station,57.740871,12.102855,
740000133,Örebro Centralstation,59.278942,15.211344,
740000134,Ryd terminal,56.461964,14.692975,
740000135,Ängelsberg station,59.958462,16.009393,
740000136,Strömsnäsbruk,56.550582,13.731998,
740000137,Rensjön station,68.071717,19.829214,
740000138,Skurup station,55.480071,13.500375,
740000140,Nässjö Centralstation,57.652440,14.693982,
740000141,Bromölla station,56.067342,14.479502,
740000142,Undersåker station,63.314804,13.237890,
740000143,Borgstena station,57.883199,13.014915,
740000144,Luleå Centralstation,65.584090,22.164937,
740000145,Vislanda station,56.786993,14.453580,
740000146,Järvsö station,61.715873,16.172238,
740000147,Ytterån,63.317459,14.170019,
740000148,Lidköping station,58.504528,13.163895,
740000149,Nykvarn station,59.179169,17.430924,
740000150,Boden C/Resecentrum,65.828741,21.706991,
740000151,Abisko Östra station,68.350878,18.831069,
740000152,Väckelsång centrum,56.638335,14.921043,
740000153,Mörsil station,63.308435,13.657356,
740000154,Söderhamn station,61.299600,17.035679,
740000155,Åstorp station,56.133968,12.949185,
740000156,Älvsbyn station,65.678202,20.994584,
740000157,Veinge station,56.553078,13.075414,
740000158,Rättvik station,60.885117,15.115628,
740000159,Viskafors station,57.628557,12.843709,
740000160,Borlänge Centralstation,60.483536,15.425840,
740000161,Kungsbacka station,57.490555,12.079615,
740000162,Grängesberg station,60.076396,15.005463,
740000164,Skillingaryd station,57.428568,14.090787,
740000165,Nälden station,63.348704,14.254307,
740000166,Katrineholm Centralstation,58.996593,16.208325,
740000167,Köping station,59.506672,16.004217,
740000169,Simrishamn station,55.554029,14.351946,
740000170,Eskilstuna Centralstation,59.369486,16.505196,
740000171,Tenhult station,57.705176,14.326398,
740000172,Motala station,58.537487,15.048310,
740000173,Öxnered station,58.359220,12.273695,
740000174,Krokvik station,67.932737,20.066909,
740000175,Fellingsbro station,59.433524,15.592064,
740000176,Karlskoga busstation,59.326793,14.512130,
740000177,Mölltorp centrum,58.493500,14.415141,
740000178,Stöpen Stöpenskolan,58.475321,13.865139,
740000179,Vinslöv station,56.104899,13.916896,
740000180,Mjölby station,58.322982,15.131987,
740000181,Vännäs Resecentrum/Station,63.908690,19.749816,
740000182,Ullared bussterminal,57.136536,12.716636,
740000183,Töreboda station,58.706023,14.128392,
740000184,Sunne station,59.835577,13.149299,
740000185,Höör station,55.937024,13.541398,
740000186,Skinnskatteberg station,59.832577,15.692517,
740000187,Hudiksvall station,61.724495,17.109037,
740000188,Tvååker Centrum,57.041597,12.398459,
740000189,Nybro station,56.742360,15.909169,
740000190,Umeå Centralstation,63.830061,20.266813,
740000191,Trollhättan Centralstation,58.287580,12.299218,
740000192,Kumla station,59.126374,15.140279,
740000194,Laxå station,58.989393,14.616657,
740000195,Sandviken station,60.614348,16.777880,
740000196,Virsbo station,59.872616,16.084064,
740000197,Svängsta centrum,56.263289,14.770938,
740000198,Ljusdal station,61.826855,16.097119,
740000200,Kristianstad Centralstation,56.031668,14.151260,
740000202,Insjön station,60.675343,15.094366,
740000203,Floda station,57.810065,12.361331,
740000205,Mölnlycke station,57.656693,12.117366,
740000206,Kil station,59.505032,13.316341,
740000207,Hindås station,57.704446,12.451226,
740000208,Vassijaure station,68.428825,18.260402,
740000210,Gävle Centralstation,60.676120,17.151219,
740000211,Landskrona Drottninggatan,55.868061,12.830967,
